iter	Logloss
0	0.6796006612
1	0.6703907112
2	0.6584085833
3	0.6502181009
4	0.6425544881
5	0.6354706066
6	0.6292289654
7	0.6220277008
8	0.6167496478
9	0.6125850128
10	0.6068930845
11	0.6036391085
12	0.5999826127
13	0.5952298221
14	0.5930708402
15	0.589571219
16	0.5880094488
17	0.5845913496
18	0.5824101297
19	0.5794460372
20	0.5772222204
21	0.5748738911
22	0.5730871141
23	0.5717376932
24	0.5696757969
25	0.5667918148
26	0.5648769311
27	0.5618323188
28	0.559662205
29	0.5587738393
30	0.5568305985
31	0.5548348942
32	0.5534250312
33	0.5527042359
34	0.5522077106
35	0.550441997
36	0.5495510111
37	0.5482788348
38	0.5471691069
39	0.5468324377
40	0.5459480343
41	0.545745387
42	0.5447463262
43	0.5430647545
44	0.542403687
45	0.5402422869
46	0.5396784601
47	0.5393060256
48	0.5387207772
49	0.5376537704
50	0.5370164758
51	0.5354926864
52	0.5352571139
53	0.5344894237
54	0.5335270094
55	0.532906309
