iter	Passed	Remaining
0	23	19150
1	55	22164
2	84	22416
3	110	21900
4	138	21956
5	167	22156
6	194	22059
7	220	21843
8	248	21834
9	278	21977
10	308	22106
11	335	22030
12	361	21896
13	389	21879
14	413	21614
15	443	21732
16	457	21076
17	488	21242
18	519	21361
19	550	21475
20	583	21634
21	613	21692
22	643	21735
23	671	21721
24	700	21706
25	730	21732
26	762	21841
27	794	21892
28	824	21909
29	849	21807
30	874	21689
31	899	21585
32	926	21525
33	949	21383
34	969	21192
35	995	21122
36	1017	20985
37	1046	20986
38	1071	20916
39	1083	20590
40	1107	20504
41	1130	20396
42	1156	20368
43	1184	20343
44	1210	20302
45	1237	20290
46	1266	20292
47	1299	20357
48	1331	20410
49	1360	20402
50	1407	20669
51	1449	20850
52	1478	20843
53	1511	20884
54	1547	20956
55	1577	20952
